variable,long_name,units,filename,crop
SRAA,Average solar radiation,MJ/m2/day,ET.OUT,"maize,wwheat,soy"
TMAXA,Average maximum air temperature,c,ET.OUT,"maize,wwheat,soy"
TMINA,Average minimum air temperature,c,ET.OUT,"maize,wwheat,soy"
EOAA,Average potential evapotranspiration,mm/day,ET.OUT,"maize,wwheat,soy"
EOPA,Average potential transpiration,mm/day,ET.OUT,"maize,wwheat,soy"
EOSA,Average potential soil evaporation per day,mm/day,ET.OUT,"maize,wwheat,soy"
ETAA,Average evapotranspiration,mm/day,ET.OUT,"maize,wwheat,soy"
EPAA,Average plant transpiration,mm/day,ET.OUT,"maize,wwheat,soy"
ESAA,Average soil evaporation,mm/day,ET.OUT,"maize,wwheat,soy"
EFAA,Average flood evaporation,mm/day,ET.OUT,"maize,wwheat,soy"
EMAA,Average mulch evaporation,mm/day,ET.OUT,"maize,wwheat,soy"
EOAC,Cumulative potential evapotranspiration,mm,ET.OUT,"maize,wwheat,soy"
ETAC,Cumulative evapotranspiration,mm,ET.OUT,"maize,wwheat,soy"
EPAC,Cumulative transpiration,mm,ET.OUT,"maize,wwheat,soy"
ESAC,Cumulative soil evaporation,mm,ET.OUT,"maize,wwheat,soy"
EFAC,Cumulative floodwater evaporation,mm,ET.OUT,"maize,wwheat,soy"
EMAC,Cumulative mulch evaporation,mm,ET.OUT,"maize,wwheat,soy"
ES1D,Soil evaporation layer 1,mm/day,ET.OUT,"maize,wwheat,soy"
ES2D,Soil evaporation layer 2,mm/day,ET.OUT,"maize,wwheat,soy"
ES3D,Soil evaporation layer 3,mm/day,ET.OUT,"maize,wwheat,soy"
ES4D,Soil evaporation layer 4,mm/day,ET.OUT,"maize,wwheat,soy"
ES5D,Soil evaporation layer 5,mm/day,ET.OUT,"maize,wwheat,soy"
ES6D,Soil evaporation layer 6,mm/day,ET.OUT,"maize,wwheat,soy"
ES7D,Soil evaporation layer 7,mm/day,ET.OUT,"maize,wwheat,soy"
ES8D,Soil evaporation layer 8,mm/day,ET.OUT,"maize,wwheat,soy"
ES9D,Soil evaporation layer 9,mm/day,ET.OUT,"maize,wwheat,soy"
ES10,Soil evaporation layer 10,mm/day,ET.OUT,"maize,wwheat,soy"
MCFD,Fraction of soil covered by mulch,percent,Mulch.OUT,"maize,wwheat,soy"
MDEPD,Thickness of mulch layer,cm,Mulch.OUT,"maize,wwheat,soy"
MWAD,Mass of mulch layer,kg/ha,Mulch.OUT,"maize,wwheat,soy"
MWTD,Water stored in mulch layer,mm,Mulch.OUT,"maize,wwheat,soy"
L#SD,Leaf number per stem,count,PlantGro.OUT,"maize,wwheat,soy"
LAID,Leaf area index,count,PlantGro.OUT,"maize,wwheat,soy"
LWAD,Leaf appearance rate,count/day,PlantGro.OUT,"maize,wwheat,soy"
SWAD,Stem weight,kg/ha,PlantGro.OUT,"maize,wwheat,soy"
GWAD,Grain weight,kg/ha,PlantGro.OUT,"maize,soy"
RWAD,Root weight,kg/ha,PlantGro.OUT,"maize,wwheat,soy"
NWAD,Nodule weight,kg/ha,PlantGro.OUT,soy
VWAD,Vegetative weight (stem+leaf),kg/ha,PlantGro.OUT,"maize,soy"
CWAD,Tops weight,kg/ha,PlantGro.OUT,"maize,wwheat,soy"
G#AD,Grain number,count/m2,PlantGro.OUT,"maize,soy"
GWGD,Unit grain weight,mg,PlantGro.OUT,"maize,soy"
HIAD,Harvest index,count,PlantGro.OUT,"maize,wwheat,soy"
PWAD,Pod weight,kg/ha,PlantGro.OUT,"maize,soy"
P#AD,Pod number,count/m2,PlantGro.OUT,"maize,soy"
WSPD,Water stress - photosynthesis (0-1),count,PlantGro.OUT,"maize,soy"
WSGD,Water stress - expansion/partioning/development (0-1),count,PlantGro.OUT,"maize,soy"
NSTD,Nitrogen stress factor (0-1),count,PlantGro.OUT,"maize,soy"
EWSD,Excess Water Stress - (0-1),count,PlantGro.OUT,"maize,soy"
PST1A,P stress factor for reducing photosynthate (0-1),count,PlantGro.OUT,"maize,soy"
PST2A,P stress which affects vegetative growth (0-1),count,PlantGro.OUT,"maize,soy"
KSTD,Potassium stress factor (0-1),count,PlantGro.OUT,"maize,soy"
LNPD,Leaf nitrogen concentration,percent,PlantGro.OUT,"maize,soy"
SHPD,Shelling % (seed wt/pod wt*100),percent,PlantGro.OUT,"maize,soy"
HIPD,Pod harvest index (pod/top),count,PlantGro.OUT,"maize,soy"
PWDD,Detached pod mass,kg/ha,PlantGro.OUT,"maize,soy"
PWTD,Total pod weight,kg/ha,PlantGro.OUT,"maize,soy"
SLAD,Specific leaf area,cm2/g,PlantGro.OUT,"maize,wwheat,soy"
CHTD,Canopy height,m,PlantGro.OUT,"maize,soy"
CWID,Canopy width (for 1 row),m,PlantGro.OUT,"maize,soy"
RDPD,Root depth,m,PlantGro.OUT,"maize,wwheat,soy"
RL1D,Root density soil layer 1,cm/cm3,PlantGro.OUT,"maize,soy"
RL2D,Root density soil layer 2,cm/cm3,PlantGro.OUT,"maize,soy"
RL3D,Root density soil layer 3,cm/cm3,PlantGro.OUT,"maize,soy"
RL4D,Root density soil layer 4,cm/cm3,PlantGro.OUT,"maize,soy"
RL5D,Root density soil layer 5,cm/cm3,PlantGro.OUT,"maize,soy"
RL6D,Root density soil layer 6,cm/cm3,PlantGro.OUT,"maize,soy"
RL7D,Root density soil layer 7,cm/cm3,PlantGro.OUT,"maize,soy"
RL8D,Root density soil layer 8,cm/cm3,PlantGro.OUT,"maize,soy"
RL9D,Root density soil layer 9,cm/cm3,PlantGro.OUT,"maize,soy"
RL10D,Root density soil layer 10,cm/cm3,PlantGro.OUT,"maize,soy"
CDAD,Dead canopy weight,kg/ha,PlantGro.OUT,maize
LDAD,Dead leaf weight,kg/ha,PlantGro.OUT,maize
SDAD,Dead stem weight,kg/ha,PlantGro.OUT,maize
SNW0C,Cumulative senesced dry matter to surface,kg/ha,PlantGro.OUT,"maize,soy"
SNW1C,Cumulative senesced dry matter to soil,kg/ha,PlantGro.OUT,"maize,soy"
DTTD,Growing degree days,count,PlantGro.OUT,maize
TMEAN,Mean temperature,c,PlantGro.OUT,wwheat
TKILL,Temperature for plant death,c,PlantGro.OUT,wwheat
GSTD,Growth stage,count,PlantGro.OUT,"maize,wwheat,soy"
PARID,PAR interception (%),percent,PlantGro.OUT,wwheat
PARUD,PAR utilization efficiency,g/MJ,PlantGro.OUT,wwheat
AWAD,Assimilate production,kg/ha/d,PlantGro.OUT,wwheat
